id	targetid	site	pop	state	district	species	chr_race	latitude	longitude	miss
8168	2751643	Warren Gorge1	Warren_Gg	SA	SA	Vandiemenella	P25XO	-32.18657	138.013862	0.186262
8405	2751644	Fitzgerald Bay	Fitzgerald_Bay	SA	SA	Vandiemenella	P45bXO	-32.936184	137.753952	0.0928218
8155	2751645	Fitzgerald Bay	Fitzgerald_Bay	SA	SA	Vandiemenella	P45bXO	-32.936184	137.753952	0.0872525
8592	2751646	Fitzgerald Bay	Fitzgerald_Bay	SA	SA	Vandiemenella	P45bXO	-32.936184	137.753952	0.112624
8576	2751647	Fitzgerald Bay	Fitzgerald_Bay	SA	SA	Vandiemenella	P45bXO	-32.936184	137.753952	0.0909653
8740	2751648	Truganina Park	Truganina	VIC	melbourne	Vandiemenella	viatica19	-37.88344457	144.79791	0.049505
8663	2751650	Truganina Park	Truganina	VIC	melbourne	Vandiemenella	viatica19	-37.88344457	144.79791	0.0507426
8701	2751652	2 km W Kingower	Kingower	VIC	regional	Vandiemenella	viatica19	-36.608292	143.779404	0.0451733
8692	2751653	2 km W Kingower	Kingower	VIC	regional	Vandiemenella	viatica19	-36.608292	143.779404	0.052599
8744	2751654	2 km W Kingower	Kingower	VIC	regional	Vandiemenella	viatica19	-36.608292	143.779404	0.0649752
8794	2751656	2 km W Kingower	Kingower	VIC	regional	Vandiemenella	viatica19	-36.608292	143.779404	0.0445545
8686	2751658	Kiata	Kiata	VIC	regional	Vandiemenella	viatica19	-36.366459	141.79863	0.0680693
